No,luas_bangunan,luas_lahan,harga_dev,dp,cicilan_per_bulan,harga_kpr
1,30,72,244608000,24460800,1978745,380634900
2,30,72,223641600,22364160,1809139,348009180
3,30,72,223641600,22364160,1809139,348009180
4,30,110,305356800,30535000,2470170,475165600
5,30,116,318259200,31825920,2574543,495243660
6,30,110,305356800,30535000,2470170,475165600
7,30,107,298905600,29890560,2417983,465127500
8,30,94,270950400,27095040,2191841,421626420
9,30,131,350515200,35051520,2833477,545077380
10,38,75,324842240,32484224,2627796,505487504
11,38,109,389004800,38900480,3146837,605331140
12,38,70,296752640,29675264,2400567,461777324
13,38,72,301483520,30148352,2438837,469139012
14,38,97,360619520,36061952,2917215,561160652
15,38,89,341696000,34169600,2761134,531173720
16,38,91,348117920,34817792,2816569,541800212
17,38,91,348117920,34817792,2816569,541800212
18,38,93,353093120,35309312,2856331,549448892
19,38,98,365381120,36538112,2955734,568570232
20,38,126,434193920,43419392,3512392,675649952
21,38,131,446481920,44648192,3611795,694771292
22,48,148,526791680,52679168,4261457,819741428
23,48,91,393144320,39314432,3180323,611772572
24,72,126,602485760,60248576,4873781,937529156
25,72,105,553994240,55399424,4481511,862071404
